path	node	rank
Archaea;	Archaea	domain
Archaea;Aenigmarchaeota;	Aenigmarchaeota	phylum
Archaea;Aenigmarchaeota;Aenigmarchaeota Incertae Sedis;	Aenigmarchaeota Incertae Sedis	class
Archaea;Aenigmarchaeota;Aenigmarchaeota Incertae Sedis;Unknown Order;	Unknown Order	order
Archaea;Aenigmarchaeota;Aenigmarchaeota Incertae Sedis;Unknown Order;Unknown Family;	Unknown Family	family
Archaea;Aenigmarchaeota;Aenigmarchaeota Incertae Sedis;Unknown Order;Unknown Family;Candidatus Aenigmarchaeum;	Candidatus Aenigmarchaeum	genus
Archaea;Aenigmarchaeota;Deep Sea Euryarchaeotic Group(DSEG);	Deep Sea Euryarchaeotic Group(DSEG)	class
Archaea;Aigarchaeota;	Aigarchaeota	phylum
Archaea;Aigarchaeota;Aigarchaeota Incertae Sedis;	Aigarchaeota Incertae Sedis	class
Archaea;Aigarchaeota;Aigarchaeota Incertae Sedis;Unknown Order;	Unknown Order	order
Archaea;Aigarchaeota;Aigarchaeota Incertae Sedis;Unknown Order;Unknown Family;	Unknown Family	family
Archaea;Aigarchaeota;Aigarchaeota Incertae Sedis;Unknown Order;Unknown Family;Candidatus Caldiarchaeum;	Candidatus Caldiarchaeum	genus
Archaea;Aigarchaeota;Terrestrial Hot Spring Gp(THSCG);	Terrestrial Hot Spring Gp(THSCG)	class
Archaea;Ancient Archaeal Group(AAG);	Ancient Archaeal Group(AAG)	phylum
Archaea;Crenarchaeota;	Crenarchaeota	phylum
Archaea;Crenarchaeota;Thermoprotei;	Thermoprotei	class
Archaea;Crenarchaeota;Thermoprotei;1A-6;	1A-6	order
Archaea;Crenarchaeota;Thermoprotei;4136-1-21;	4136-1-21	order
Archaea;Crenarchaeota;Thermoprotei;a87Y42;	a87Y42	order
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;	Acidilobales	order
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;	Acidilobaceae	family
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;	Acidilobus	genus
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;	Caldisphaeraceae	family
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;	Caldisphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;SK190;	SK190	family
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;	Desulfurococcales	order
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;	Desulfurococcaceae	family
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;	Aeropyrum	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;	Desulfurococcus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;	Ignicoccus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera;	Ignisphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;	Staphylothermus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Stetteria;	Stetteria	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Sulfophobococcus;	Sulfophobococcus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermodiscus;	Thermodiscus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;	Thermogladius	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;	Thermosphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;uncultured;	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;	Pyrodictiaceae	family
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;	Hyperthermus	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;	Pyrodictium	genus
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;uncultured;	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;	Fervidicoccales	order
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;	Fervidicoccaceae	family
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;	Fervidicoccus	genus
Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;uncultured;	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;HTM1036S-A29;	HTM1036S-A29	order
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;	Sulfolobales	order
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;	Sulfolobaceae	family
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;	Acidianus	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;	Metallosphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Stygiolobus;	Stygiolobus	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;	Sulfolobus	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfurisphaera;	Sulfurisphaera	genus
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;uncultured;	uncultured	genus
Archaea;Crenarchaeota;Thermoprotei;Terrestrial Miscellaneous Gp(TMCG);	Terrestrial Miscellaneous Gp(TMCG)	order
